"Proposal Name","Name","Inventory: Name","Account: Account Name","Unit Type"
"BLR/EW/02143/2","BLR/EW/CP3/248","BLR/EW/CP3/248","Unbox Technologies Pvt Ltd","Car Parking"
"BLR/EW/02143/2","BLR/EW/CP3/249","BLR/EW/CP3/249","Unbox Technologies Pvt Ltd","Car Parking"
"BLR/EW/02143/2","BLR/EW/CP3/247","BLR/EW/CP3/247","Unbox Technologies Pvt Ltd","Car Parking"
"BLR/EW/02143/2","BLR/EW/CP3/246","BLR/EW/CP3/246","Unbox Technologies Pvt Ltd","Car Parking"
"BLR/EW/02028/1","BLR/EW/DD/01/026","BLR/EW/DD/01/026","Unbox Technologies Pvt Ltd","Dedicated Desk"
"BLR/EW/02028/1","BLR/EW/DD/01/014","BLR/EW/DD/01/014","Unbox Technologies Pvt Ltd","Dedicated Desk"
"BLR/EW/02028/1","BLR/EW/DD/01/009","BLR/EW/DD/01/009","Unbox Technologies Pvt Ltd","Dedicated Desk"
"BLR/EW/02028/1","BLR/EW/DD/01/042","BLR/EW/DD/01/042","Unbox Technologies Pvt Ltd","Dedicated Desk"
"BLR/EW/02028/1","BLR/EW/DD/01/041","BLR/EW/DD/01/041","Unbox Technologies Pvt Ltd","Dedicated Desk"
"BLR/EW/02028/1","BLR/EW/DD/01/040","BLR/EW/DD/01/040","Unbox Technologies Pvt Ltd","Dedicated Desk"
"BLR/EW/02028/1","BLR/EW/DD/01/039","BLR/EW/DD/01/039","Unbox Technologies Pvt Ltd","Dedicated Desk"
"BLR/EW/02028/1","BLR/EW/DD/01/038","BLR/EW/DD/01/038","Unbox Technologies Pvt Ltd","Dedicated Desk"
"BLR/EW/02028/1","BLR/EW/DD/01/037","BLR/EW/DD/01/037","Unbox Technologies Pvt Ltd","Dedicated Desk"
"BLR/EW/02028/1","BLR/EW/DD/01/036","BLR/EW/DD/01/036","Unbox Technologies Pvt Ltd","Dedicated Desk"
"BLR/EW/02028/1","BLR/EW/DD/01/035","BLR/EW/DD/01/035","Unbox Technologies Pvt Ltd","Dedicated Desk"
"BLR/EW/02028/1","BLR/EW/DD/01/044","BLR/EW/DD/01/044","Unbox Technologies Pvt Ltd","Dedicated Desk"
"BLR/EW/02028/1","BLR/EW/DD/01/043","BLR/EW/DD/01/043","Unbox Technologies Pvt Ltd","Dedicated Desk"
"BLR/EW/02028/1","BLR/EW/DD/01/056","BLR/EW/DD/01/056","Unbox Technologies Pvt Ltd","Dedicated Desk"
"BLR/EW/02028/1","BLR/EW/DD/01/015","BLR/EW/DD/01/015","Unbox Technologies Pvt Ltd","Dedicated Desk"
"BLR/EW/02028/1","BLR/EW/DD/01/005","BLR/EW/DD/01/005","Unbox Technologies Pvt Ltd","Dedicated Desk"
"BLR/EW/02028/1","BLR/EW/DD/01/001","BLR/EW/DD/01/001","Unbox Technologies Pvt Ltd","Dedicated Desk"
"BLR/EW/02028/1","BLR/EW/DD/00/014","BLR/EW/DD/00/014","Unbox Technologies Pvt Ltd","Dedicated Desk"
"BLR/EW/02028/1","BLR/EW/DD/00/013","BLR/EW/DD/00/013","Unbox Technologies Pvt Ltd","Dedicated Desk"
"BLR/EW/02028/1","BLR/EW/DD/00/012","BLR/EW/DD/00/012","Unbox Technologies Pvt Ltd","Dedicated Desk"
